Headlines,Summary,Time
"IHC orders release of under-trial prisoners
","Directs Islamabad police not to make arrest in petty matters.
",2020-03-21
"NAB likely to send questionnaire to Nawaz
","Lahore NAB had asked Nawaz to appear for a hearing in the case against Mir Shakilur Rehman on Friday.
",2020-03-21
"NDMA sends halal food for 1,300 Pakistani students in Wuhan
","ISLAMABAD: The National Disaster Management Authority (NDMA) on Friday dispatched ready-to-eat meal and some ...
",2020-03-21
"Sanjrani proposes names for parliamentary committee on virus
","The committee will ensure better coordination between various units of the federal govt, says the Senate chairman.
",2020-03-22
"Virus-induced train closure to cause Rs2.3bn loss: minister
","Rashid says 42 passenger trains will go off the tracks by April 1
",2020-03-22
"US official with virus symptoms arrives; Kyrgyz national tests positive
","Sources say the official has not been shifted to a hospital; has been quarantined by the US embassy,
",2020-03-22
"About 2,000 more people expected from Iran soon
","Work under way to set up an emergency health city in Quetta, says Balochistan Chief Secretary Fazeel Asghar.
",2020-03-22
"Gen Bajwa says army to speed up assistance for civilians
","""Every Pakistani must follow the guidelines given by the govt,"" the army chief says.
",2020-03-22
"Balochistan CM urges people to avoid travel in public transport
","QUETTA: Balochistan Chief Minister Jam Kamal Khan Alyani has appealed to the people of the province to stay in their...
",2020-03-22
"Pakistan worried over health of jailed Kashmiri leader
","ISLAMABAD: Pakistan is deeply concerned over deteriorating health of All Parties Hurriyat Conference leader Mohammad...
",2020-03-22
"Afghan border opened for trade for two days
","However, people stranded on both sides of the border were not allowed to cross into their countries.
",2020-03-22
"Iran designates two hospitals for treatment of foreign pilgrims
","ISLAMABAD: Iran on Saturday announced allocation of two hospitals for treatment of those foreigners who contract the...
",2020-03-22
"Plea in SC wants govt to declare national health emergency
","Rights activists say funds received for construction of dams should be used on coronavirus curtailment.
",2020-03-22
"Opposition urges Imran to do something practical
","PML-N, PPP say PM has no plan on how to steer away the nation from coronavirus.
",2020-03-23
"Qureshi talks to regional peers to fight virus together
","Foreign ministers of Iran, Sri Lanka and Nepal discuss coronavirus pandemic with foreign minister.
",2020-03-23
"Balochistan facing shortage of medical equipment: CM
","Says perception that pilgrims returning from Iran were the cause of the spread of coronavirus incorrect.
",2020-03-23
"Shahbaz offers family-run hospitals for Covid-19 patients
","Forms health task force to frame recommendations to stem spread.
",2020-03-23
"Multi-pronged relief package being worked out: official
","Criteria for income support programme to be relaxed.
",2020-03-23
"WB to provide $200m for emergency project to combat virus outbreak
","The project will address critical country-level needs to prevent, detect and respond to the threat posed by coronavirus.
",2020-03-23
"APNS hails exemption of hawkers, media workers from lockdown
","Hawkers, media persons declared essential personnel by Sindh govt.
",2020-03-23
"Five killed in Hosri roof collapse
","QUETTA: A family of five, comprising two women and three children, were killed when the roof of their mud house...
",2020-03-23
"Correction
","Apropos a picture published in Dawn on March 22 and released by Online news agency, personnel in special gear are...
",2020-03-23
"MQM-P rejoins federal cabinet on assurance of one more ministry
","Aminul Haque will replace Khalid Maqbool as IT and telecom minister.
",2020-03-23
"Gaza confirms first two Covid-19 cases linked to Pakistan
","The United Nations has warned that a Covid-19 outbreak in Gaza could be disastrous.
",2020-03-23
"Six suspended for selfie with virus-hit colleague
","The man was not showing symptoms of the virus when the colleagues went to visit him.
",2020-03-23
"Govt urged to protect prisoners from coronavirus
","Human Rights organisations say rapid action is required to ensure inmates and staff in jails remain safe.
",2020-03-24
"Adiala prisoners seek bail over virus
","IHC requested to release prisoners who have served 3/4 of their time, aged over 50.
",2020-03-24
"Govt starts cell phone tracking to alert people at virus risk
","Rights activists wonder where the data will be stored.
",2020-03-24
"Three-week lockdown in AJK
","The announcement was made by Prime Minister Raja Farooq Haider.
",2020-03-24
"Karachi, Sukkur airports to shut from today to curb virus
","Some flights are still operating in other airports according to aviation law.
",2020-03-24
"Coronavirus exposes underfunded health infrastructure
","Number of Covid-19 cases in country growing fast.
",2020-03-24
"Balochistan plans stricter steps on virus
","Langove says people are not taking govt's appeals seriously.
",2020-03-24
"APNS urges PM to release media dues in Covid-19 relief package
","KARACHI: The All Pakistan Newspapers Society (APNS) has urged Prime Minister Imran Khan to include payment of media...
",2020-03-24
"Markets shut in Dalbandin
","CHAGAI: All markets and shops, except medical stores, bakeries, fruit and vegetable selling points, remained closed...
",2020-03-24
"PN frigate’s keel-laying
","KARACHI: The keel-laying ceremony of the second ship of Type 054 A/P was held at Hudong-Zhonghua Shipyard in China,...
",2020-03-24
"Operation of all passenger trains suspended
","Railways minister says resumption of service will depend on evolving situation.
",2020-03-25
"IHC grants bail to 408 under-trial prisoners
","The 408 UTPs are facing cases relating to narcotics and other crimes. 
",2020-03-25
"Judiciary to continue functioning to defend people’s rights, announces SC
","No case to be dismissed for non-prosecution if lawyer cannot appear before apex court to plead the case. 
",2020-03-25
"ECP’s female staff temporarily exempted from attending office
","The gender, protocol and training wings of the commission will also remain closed till April 6.  
",2020-03-25
"Government urged to protect prisoners from coronavirus
","Amnesty International and JPP put out joint statement.
",2020-03-25
"Locking horns over lockdown
","At media briefing, PM handles fair (and some unfair) criticism with patience, grace and aplomb.
",2020-03-25
"Domestic flight operation to be suspended from tomorrow
","RAWALPINDI: The government has suspended the operation of all types of domestic scheduled and non-scheduled ...
",2020-03-25
"Export of onion, PPE banned
","Two notifications were iss­ued to implement the decision with immediate effect.
",2020-03-25
"No new virus case reported in Balochistan
","QUETTA: No new coronavirus case was reported in any part of Balochistan on Tuesday, health authorities announced,...
",2020-03-25
"KP hires 1,300 contractual doctors to fight Covid-19
","CM says KPPSC okayed recruitment of 635 more medics.
",2020-03-26
"Red zone files: Politics of  the virus
","Coronavirus may be reshaping the future of the planet, but it has failed to dent the way politics is done in Pakistan.  
",2020-03-26
"SC fines FBR for filing frivolous petition against own officer
","“It is an activity merely to linger on the proceedings,"" says Justice Gulzar.
",2020-03-26
"Rs7.8bn approved for NDMA to contain pandemic
","Project is initially meant for six months.
",2020-03-26
"Key NAB lawyer summoned for opposing bail
","IHC asks why watchdog is denying bail in spite of imminent threat of coronavirus spread in prisons.
",2020-03-26
"Govt seeks suggestions from opposition to fight virus
","PM’s aide terms opposition leader’s speech at MPC ""a bundle of unrealistic desires"".
",2020-03-26
"Balochistan top body reviews post-lockdown situation
","The apex committee decided to strictly restrict movement of the residents of Hazara Town and Marriabad areas.
",2020-03-26
"Lockdown in public interest, says Alyani
","DERA MURAD JAMALI: Balochistan Chief Minister Jam Kamal Khan Alyani has said the government is utilising all its...
",2020-03-26
"Security men’s behaviour towards journalists condemned
","Journalists beaten up by security personnel in Karachi, Hyderabad and Sukkur even after showing ID cards.
",2020-03-26
"10m people with low income to get Rs12,000 stipend in lump sum
","Sania Nishtar says programme will be SMS-based.
",2020-03-27
"SC postpones hearing of challenges to case  against Justice Isa
","Waives limitation period for filing applications, petitions, appeals and reviews.
",2020-03-27
"ECC approves grants for equipment purchase
","The approval of the supplementary grants is part of the government package to mitigate impact of Covid-19.
",2020-03-27
"Bilawal asks govt to renegotiate terms with IMF
","Raza Rabbani calls for transparency in the loans to be obtained to fight the war against coronavirus. 
",2020-03-27
"No decision taken about Haj, says minister
","“S. Arabia has only told us not to finalise any Haj-related agreement for the time being,” says Qadri.
",2020-03-27
"Levies men to undergo tests
","QUETTA: All Levies personnel who have performed duties at quarantine centres in Quetta, Taftan, Qila Saifullah and...
",2020-03-27
"Joint parliamentary panel formed
","ISLAMABAD: National Assembly Speaker Asad Qaiser on Thursday constituted a 25-member parliamentary committee having...
",2020-03-27
"Young doctors lead fight against coronavirus
","Lack of safety precautions at state-run hospitals poses a threat to medical staff 
",2020-03-27
"Two security men martyred in attack near Iran border
","GWADAR: Two security personnel were martyred and four others injured in an attack in the Mand area of Kech district...
",2020-03-27
"Use soap, not guns, and fight virus with ‘bare hands’
","Pushto video tells people to wash their hands and fight virus with ""bare hands"".
",2020-03-28
"PIA among carriers at risk of going bankrupt
","Airlines can lose a quarter of a trillion dollars in revenue this year because of coronavirus lockdowns.
",2020-03-28
"IHC issues detailed order on bail given to NAB suspects
","ISLAMABAD: The Islamabad High Court (IHC) on Friday issued a detailed order with regard to the bail granted to...
",2020-03-28
"Two Covid-19 patients discharged from Quetta hospital after recovery
","QUETTA: First two patients of coronavirus in Balochistan have been discharged from Sheikh Zayed Hospital after their...
",2020-03-28
"Three killed as roof of house collapses
","QUETTA: Three people, including a man and his minor son, were killed and four others injured in rain-related...
",2020-03-28
"Polyclinic doctor tests positive for Covid-19
","ISLAMABAD: A doctor of Polyclinic Hospital tested positive for Covid-19, according to a late-night report issued by...
",2020-03-28
"US places Pakistan on high-priority list for Covid-19 assistance
","US has set up a $274 million fund to help the international community in combating the outbreak of this deadly disease.
",2020-03-28
"IHC suspends govt order to sack KPT chief
","Jamil was appointed in November 2017 for three years.
",2020-03-28
"Virus claims life of British-Pakistani in UK’s ‘first doctor death’
","Dr Habib Zaidi, a 76-year-old GP, died while being treated for what was probably coronavirus.
",2020-03-28
"Lone facility in Gilgit-Baltistan can test only 15 patients a day: CM
","Says out of 633 suspected coronavirus patients, 91 tested positive, results of 332 were awaited.
",2020-03-28
"Hamza moves court for bail
","LAHORE: Leader of Opposition in Punjab Assembly Hamza Shahbaz on Saturday approached the Lahore High Court with a...
",2020-03-29
"Baltistan varsity waives off fee
","GILGIT: The University of Baltistan has announced to waive off the tuition fee of all the students enrolled in the...
",2020-03-29
"Govt to outline safety guidelines for workers of needed industries
","The guidelines will be implemented in collaboration with the associations concerned.
",2020-03-29
"Army announces completion of troops’ deployment across country
","Military observers believe that troops already allocated for internal security have been re-appropriated for this task.
",2020-03-29
"Minister draws UNHCR attention to Afghan refugees’ problems
","Our Afghan brothers should not be forgotten in these difficult times, says minister Shehryar Khan Afridi.
",2020-03-29
"Banks to collect cheques from doorsteps
","Step taken to combat spread of Covid-19 by limiting personal interactions.
",2020-03-29
"Bukhari vows to sue Khawaja Asif over Taftan allegations
","By giving such irresponsible statements, he has put my life at risk, says Bukhari.
",2020-03-29
"Two army officers hurt in N. Waziristan blast
","MIRAMSHAH: Two army officers were injured when an explosive device went off near a convoy of security forces in...
",2020-03-29
"CM suspends official for hiding masks, test kits
","QUETTA: Chief Minister Jam Kamal Khan Alyani on Saturday suspended an official of the Medical Store Department ...
",2020-03-29
"Prisoners released
","QUETTA: Following a decision of the Apex Committee, Balochistan Home Minister Mir Ziaullah Langove has paid the fine...
",2020-03-29
"Pakistan concerned over curbs in held Kashmir despite virus
","World urged to ask India to allow supply of medical equipment.
",2020-03-30
"Baloch journalist goes missing in Sweden
","Sajid Hussain Baloch is the chief editor of online magazine Balochistan Times.
",2020-03-30
"Three doctors, technician test positive for virus in Quetta
","One of the doctors quarantined himself at home after developing symptoms of the virus.
",2020-03-30
"Five staffers of Bulgarian embassy return home
","Two members of the South African High Commission arrive in Pakistan; undergo health checkup coronavirus testing.
",2020-03-30
"Zero-carbon water pumps turn barren mountains green
","The newly revived mountains are now home to apple orchards.
",2020-03-30
"Three more polio cases found in KP
","A three cases are in boys under two years of age.
",2020-03-30
"Each DC allocated Rs10m to combat Covid-19
","QUETTA: The finance minister of Balochistan announced on Sunday that emergency measures had been taken in the...
",2020-03-30
"Prisoners granted special remission
","QUETTA: The Balochistan government has announced special remission of four months for prisoners in order to contain...
",2020-03-30
"Covid-19 to widen inequality, says UN report
","ISLAMABAD: The coronavirus pandemic will only widen inequality gaps further and even entrench people in poverty...
",2020-03-30
"Pakistan condemns attack on S. Arabia
","Pakistan reaffirms support for the kingdom against any threat to its security and territorial integrity.
",2020-03-30
"ECC approves Rs534bn relief package
","Finance ministry regrets some ministries and divisions have failed to submit their summaries.
",2020-03-31
"Zulfi sends Rs1bn notice to Asif
","ISLAMABAD: Special Assistant to the Prime Minis­ter (SAPM) on Overseas Pakistanis and Human Resource Develop­ment...
",2020-03-31
"UN has sought govt proposal for assistance, says Qureshi
","NDMA, health ministry told to provide requirements in fight against Covid-19.
",2020-03-31
"Railways converts coaches into mobile isolation wards
","Facility has a capacity of 2,000 beds
",2020-03-31
"Another $2m ADB grant to help Pakistan fight Covid-19
","The new grant supplements an initial $500,000 approved by the bank on March 20.
",2020-03-31
"Pakistanis among Gulf migrant workers fearing virus limbo
","Strict coronavirus containment measures lead to deportations and confinement in Gulf countries.
",2020-03-31
"Plan ready to disinfect Taftan residential areas, screen people
","Arrangements for further establishing quarantine centres discussed.
",2020-03-31
"Man, sister injured in Indian shelling
","MUZAFFARABAD: A man and his sister were injured in AJK on Monday in Indian troops’ shelling from across the Line ...
",2020-03-31
"Balochistan CM accuses centre of not providing adequate assistance
","Says the provincial government used its own resource to deal the situation at the border.
",2020-03-31
"Pakistani diaspora in US to help with ventilators
","Organisation of Pakistani physicians in N America has contacted China for more supplies.
",2020-03-31
"Saindak project donates essentials amid virus crisis
","QUETTA: With coronavirus lockdown in Balochistan causing hardship to people, two companies joined hands to donate...
",2020-03-31
"PPP opposes govt plan to raise corona tiger force
","ISLAMABAD: The Pakistan Peoples Party (PPP) has opposed the government plan of raising a corona tiger force. PPP...
",2020-03-31
"Wapda workers offer one-day pay
","ISLAMABAD: Employees of the Water and Power Development Authority (Wapda) have offered their one day’s pay for a...
",2020-03-31
"Virus testing capacity of GB to be enhanced
","GILGIT: Gilgit-Baltistan Chief Minister Hafeezur Rehman on Wednesday said the region’s coronavirus testing ...
",2020-04-02
"Red zone files: Who has sinned?
","Sindh is on a tangent. And for once it appears to be the right one. But there is a price for doing the right thing.
",2020-04-02
"NA, Senate panel on pandemic to meet on April 6
","The meeting will be briefed on the economic and business plans for the revival of the economy. 
",2020-04-02
"PML-N wants parliamentary oversight of corona relief fund
","It is imperative to ensure that resources be utlised with clinical precision, utmost transparency, says Shehbaz.
",2020-04-02
"Pakistan-returned man found dead on Thai train
","BANGKOK: A man found dead on a passenger train in Thailand has tested positive for coronavirus, officials said on...
",2020-04-02
"Debt rescheduling high on EU agenda: Borrell
","FM Qureshi calls European Union's foreign police chief to discussion the situation arising out of the pandemic.
",2020-04-02
"Firdous chides Shahbaz over politics on pandemic
","Centre, provinces team up for information policy on Covid-19...
",2020-04-02
"Japan to provide $2.16m grant for Covid-19
","Assistance intended to reduce and delay transmission of virus, decrease associated deaths.
",2020-04-02
"Virus forces fishing ban near Gwadar
","The deputy commissioner has urged the fishermen community to show responsibility and not violate govt's orders.
",2020-04-02
"Rapid reaction teams set up in Quetta
","QUETTA: The administration and health officer of Quetta district and people’s primary healthcare initiative have...
",2020-04-02
"Sindh reports another polio case, taking year’s tally to 13
","A total of 37 polio cases have been reported in the country so far this year.
",2020-04-05
"Balochistan government, opposition to jointly distribute ration
","The govt and the opposition are on the same page for providing relief to the people, says chief minister.
",2020-04-05
"Lockdown should not disrupt food, medicine supply chain: UN official
","The govt's first priority should be taking complementary actions to minimise disruptions of lockdown, says official.
",2020-04-05
"Surge in demand for sanitizers exposes flaws in regulation
","The PSQCA has only 105 items under its mandate; the list does not contain sanitizers.
",2020-04-05
"Provinces looking at centre in fight against virus, says Bilawal
","The federation will have to help all provinces by providing ventilators for patients, says PPP chairman.
",2020-04-05
"PTA asks internet providers to launch cheap packages during outbreak
","PTA is trying to pass on responsibility to telecom operators, says Internet Service Providers Association of Pakistan.
",2020-04-05
"Railways did not forsake travellers before lockdown: Rashid
","LAHORE: Federal Railways Minister Sheikh Rashid claimed on Saturday that the rail network across the country...
",2020-04-05
"CAA move to hold DPC meeting today raises eyebrows
","Employees question why meeting on promotions being held amid such tense situation. 
",2020-04-06
"Three fresh coronavirus cases found in AJK
","MUZAFFARABAD: A high-profile Covid-19 patient, among the three fresh cases that surfaced in Azad Jammu and Kashmir...
",2020-04-06
"Punjab witnesses sharp surge in confirmed cases
","443 Tableeghi Jamaat members tested positive for Covid-19; Lahore’s camp jail reports 25 more cases
",2020-04-06
"Crisis brewing in Afghan refugee camps due to lockdown: minister
","Afridi says he has raised funds for helping out Afghan refugees stranded in the camps due to lockdown.
",2020-04-06
"Special committee on pandemic meets today
","Committee comprises 25 members; meeting to be chaired by Asad Qaiser.
",2020-04-06
"Situationer: Fending for themselves
","“These people have been left alone to combat a global virus that is knocking at the doorstep.”
",2020-04-06
"Pakistan to open border with Afghanistan today
","Move to be made in light of Afghan govt's request.
",2020-04-06
"PIA starts probe into pilot’s complaint of shortage of face masks, gloves
","Spokesperson says action will be taken against anyone found guilty in inquiry.
",2020-04-06
"UAE sends another batch of virus medical aid
","11 tones of medical supplies and preventive aid received.
",2020-04-06
"APNS expresses reservations on new procedure for release of govt ads
","Says newspapers would have to run from pillar to post for the recovery of their bills under new system.
",2020-04-06
"Red zone files: They worry
","Prime Minister Imran Khan has announced a lockdown for another two weeks — but cities tell a different tale.
",2020-04-16
"WHO oversees research to develop corona treatment in Pakistan
","Getz Pharma and University of Health Sciences join hands to research a cure.
",2020-04-16
"Appointment of prime minister’s aides challenged
","SC urged to declare the executive action by unelected people illegal.
",2020-04-16
"Japan offers $1m to help Afghan refugees fight Covid-19 in Pakistan
","Japanese govt has already provided $2.41m to Pakistan to support its efforts to combat the infection.
",2020-04-16
"Isolation hospital, infectious treatment centre to be built in 35 days
","The groundbreaking ceremony of the centre was performed by Prime Minister Imran Khan on March 26.
",2020-04-16
"Comment: Regulating suo motu and chief justice’s powers
","Back in the 14th century, the English grew tired of the technicalities and lengthy procedures in courts of law.
",2020-04-16
"Opposition criticises Balochistan govt
","QUETTA: Balochistan’s opposition parties have claimed the Jam Kamal-led provincial coalition has lost confidence ...
",2020-04-16
"New infection cases declining in Nagar
","Civil and military leadership visit area, discuss situation with deputy commissioner
",2020-04-18
"PM Imran for crackdown against smugglers, hoarders
","Ulema’s help to be sought to ensure precautionary measures are taken during Ramazan to contain spread of virus.
",2020-04-18
"195 Pakistanis return from Afghanistan
","Authorities say that almost all those who returned were transporters stranded on the Afghan side of the border.
",2020-04-18
"SC urged to order govt to declare financial emergency
","Petitioner calls for a national policy under ""one flag, one nation"".
",2020-04-18
"PIA crew fined at Manchester airport
","Crew fined for not having valid visas, in spite of having their names mentioned in the General Declaration.
",2020-04-18
"Pakistanis’ deaths abroad shock Bilawal
","“I hope that Pakistani missions around the world will be in close touch with troubled citizens.""
",2020-04-18
"PAF aircraft brings medical equipment to Balochistan
","11,000 pounds of medical equipment flown to PAF's Samungli base.
",2020-04-18
"Chinese firm starts ration distribution in Chagai
","Five truckloads worth of rations arrive in the area.
",2020-04-18
"Ali Habib passes away
","KARACHI: He may have lived as an owner of big capital, but to most who knew him Ali Suleman Habib will be remembered...
",2020-04-18
"Concern over closure of  news channel
","AEMEND shows concern over pay cuts faced by journalists.
",2020-04-18
"Policeman killed, soldier injured in clash with militants
","BUNER: A member of an elite police force lost his life and a soldier of the Pakistan Army sustained injuries when...
",2020-04-18
"GB govt asked not to relax lockdown
","Says lockdown needs to be made effective to contain spread of coronavirus in the region. 
",2020-04-24
"NAB moves SC against bail given to Nawaz’s nephew
","Accuses Yousaf Abbas of laundering unexplained funds of ex-PM.
",2020-04-24
"Pakistan first to get G4 rank in South Asia
","Out of the 38 economies in Asia-Pacific, only eight per cent states have managed to achieve G4 status.
",2020-04-24
"Pakistan launches $595m funding appeal to meet pandemic challenge
","World Bank pledges $240m package, ADB preparing $300m emergency loan.
",2020-04-24
"Ramazan begins tomorrow
","Mufti Popalzai in KP calls upon followers to observe first day of holy month on Friday
",2020-04-24
"PPP terms govt relief package ‘illegal’
","Calls for parliament session, says package not legitimate until approved by representatives. 
",2020-04-24
"Doctors, nurses in Balochistan ask for two more basic salaries
","Medical associations say while everyone else has been home medical workers have been asked to be on duty at all cost.
",2020-04-24
"SC irked by delay in giving rights to GB citizens
","Issues notice to GB government on Centre’s application seeking amendments to region’s laws.
",2020-04-29
"IHC asks ZTBL management to reconsider demotion of employees
","According to petitioners, around 150 vice presidents have been demoted to post of assistant vice presidents.
",2020-04-29
"AJK president, PM condemn ceasefire violations by India
","Both point out India's failure in protecting the people of IoK from coronavirus.
",2020-04-29
"PPP asks Centre to give Rs17,500 to families hit by Covid-19
","“The relief package announced by the federal government is not enough.”
",2020-04-29
"Pakistan’s women riding a digital wave in drive for better jobs
","Women make up about 25pc of country’s labour force, according to World Bank
",2020-04-29
"FO rejects Indian allegations of infiltration attempts
","Delhi warned against underestimating Islamabad’s resolve to thwart any aggressive design
",2020-04-29
"Red zone files: The Information challenge
","New team, new challenge, old problem. 
",2020-04-30
"Alvi urges unity to fight poverty, unemployment
","President made the comments while visiting Quetta for a day.
",2020-04-30
"PM orders implementation of new retirement rules
","Under new system, a govt employee can be retired before attaining 60 years of age on the basis of performance.
",2020-04-30
"Indian shelling threat to regional peace: COAS
","MUZAFFARABAD: Chief of the Army Staff (COAS) General Qamar Javed Bajwa on Wednesday termed India’s provocative...
",2020-04-30
"Foreigners in Pakistan get two-month visa extension
","The expired visas will now be treated as valid till June 30.
",2020-04-30
"Feasibility of projects must focus on public purpose, observes SC
","Completion of feasibility for projects to be built on Royal Palm Golf and Country Club in one month ordered.
",2020-04-30
"Qatar Airways to repatriate British nationals stranded in Pakistan
","Special flights will be operated from Islamabad, Lahore and Karachi from April 30 to May 7.
",2020-04-30
"Faraz, Asim urged to work for improving govt-media ties
","APNS welcomes appointment, expresses hope that industry's problems will be addressed.
",2020-04-30
"Engro pledges Rs20m to expand Covid testing at Shaukat Khanum Hospital
","Pledge made under the “Southern Punjab Screening Program — Free of Cost” campaign.
",2020-04-30
"$200m WB loan sought for ‘national equitable education project’
","The project will strengthen federal and provincial govts reduce the impact of external shocks on the education system.
",2020-04-30
"Motorcyclist injured by kite string
","LAHORE: A motorcyclist was injured after the string of a stray kite fell on him near Gaddafi Stadium on Monday. 
...
",2020-05-05
"Cabinet may suspend varnish coating of banknotes
","SBP has conducted a study on options for enhancing the security features of banknotes of higher denominations.
",2020-05-05
"Shahid Khaqan Abbasi seeks extension in protective bail
","PML-N leader accused of violating rules in making appointments in PSO.
",2020-05-05
"Seven injured in Indian shelling from across LoC
","Incidents of targeted firing at villagers  the Indian army are often reported from the region near LoC.
",2020-05-05
"PM Imran calls for bigger Covid-19 bailout package by rich economies
","Discusses situation with Ethiopian counterpart.
",2020-05-05
"Coronavirus: SBP won’t issue new notes on Eid
","The SBP issues billions of fresh currency notes on every Eid, but not this as employees work from home.
",2020-05-05
"Federal govt employees to get salaries on 21st
","Eidul Fitr will be celebrated on May 24 or 25, depending upon sighting of the moon.
",2020-05-05
"Officials empowered to conduct raids for stopping smuggling of currency, food
","Action will be taken under ‘Covid-19 (Prevention of Smuggling), 2020’ ordinance.
",2020-05-05
"Faraz says NAB is independent, working transparently
","Says previous governments plundered the national exchequer and used NAB for political gains.
",2020-05-05
"PTCL group announces Rs1.9bn virus relief package
","A major portion of the package will go towards providing subsidised and free services to customers.
",2020-05-05
"Two prisoners escape from Mastung jail
","Security forces also launched a search operation to arrest the two prisoners.
",2020-05-05
"NBP roundtable reviews Covid-19 microfinance concerns
","Stakeholders commit to work together to help sustain and support low income households.
",2020-05-05
"NGO provides cash to families in poor Balochistan district
","QUETTA: A local NGO with the aid of UN’s World Food Programme is providing cash assistance of Rs8,500 to families...
",2020-05-05
"Three coal miners killed in Harnai
","QUETTA: Three workers were killed and another was injured in a coal mine in Harnai district late on Sunday night....
",2020-05-05
"Balochistan govt to fill 58 posts through service commission
","The decision was taken at a meeting of the provincial cabinet presided over by Chief Minister Jam Kamal Khan Alyani.
",2020-05-13
"Bilawal blasts Qureshi over anti-PPP remarks
","FM terms PPP chief’s tirade ‘childish’
",2020-05-13
"Army asks Iran to observe principle of non-interference
","Army chiefs from both sides ""resolved to enhance security measures on either side of the border.”
",2020-05-13
"Col Inam files affidavit in detention case
","Says it is an admitted fact that he was forcibly taken away on Dec 17 last year.
",2020-05-13
"Ex-PM Jamali calls for end to tribal feuds
","DERA MURAD JAMALI: Former prime minister Mir Zafarullah Khan Jamali has said that tribal feuds are a major hurdle in...
",2020-05-13
"Returning looted money of Modaraba scam victims NAB’s top priority: Iqbal
","Mufti Ehsanul Haq, his nine other accomplices convicted in the scam, meeting told.
",2020-05-13
"Alyani warns of complete lockdown if SOPs not followed
","Traders not observing timings of opening and closing of  businesses; public flouting SOPs.
",2020-05-13
"Son killed, father injured in blast
","KHUZDAR: An eight-year-old boy was killed and his father was seriously injured when their motorcycle hit a landmine...
",2020-05-13
"Sindh refutes Centre’s claim of providing medical equipment
","Sindh Information Minister Nasir Hussain Shah advises federal ministers to focus on serving the people in distress.
",2020-05-17
"Leopards, jackals spotted in park as virus clears way
","ISLAMABAD: Leopards, jackals and other creatures living in Islamabad’s tree-covered hills have been enjoying a ...
",2020-05-17
"PML-N objects to PM aide’s directives to anti-graft watchdog
","PTI leaders accused of conducting Sharifs’ media trial.
",2020-05-17
"India should talk to Taliban if Delhi feels it will help peace push: Pakistan
","US sees Taliban-India parleys as ‘appropriate’; Pakistan says ""it is for India to respond"" to the suggestion.
",2020-05-17
"ADB to support provincial projects on regional connectivity
","Roads to be upgraded in Punjab, Sindh and KP.
",2020-05-17
"Court summons BISP’s former chief, others over graft in issuing ads
","Suspects allegedly allotted illegal contracts to four advertising companies.
",2020-05-17
"Balochistan opposition vows to resist move against 18th Amendment
","“We will not accept any reduction in the share of small provinces in the 10th NFC Award,” lawmakers say.
",2020-05-17
"PA session convened on 20th
","QUETTA: Balochistan Assembly Speaker Mir Abdul Qudoos Bizenjo has convened an assembly session on May 20 on the...
",2020-05-17
"May 22-27 Eid holidays announced
","All businesses, public places, community markets, shops, etc to remain closed.
",2020-05-17
"Special package allocated to Balochistan, GB varsities
","HEC triples funding for Fata university.
",2020-05-21
"Covid-19 cash assistance begins for refugees
","36,000 families would receive Rs12,000 each for four months.
",2020-05-21
"Wapda chief eyes dam diversions’ completion in three years
","Decision to build Diamer-Bhasha as a ‘roller compact concrete’ structure based on intensive research.
",2020-05-21
"Balochistan Assembly holds session under SOPs
","The 26 members who attended the session were given masks, gloves and hand sanitiser. 
",2020-05-21
"RIUJ to hold sit-in on Eid day
","ISLAMABAD: The Rawalpindi-Islamabad Union of Journalists (RIUJ) has announced it would hold a sit-in in front of the...
",2020-05-21
"Red zone files: Curious case of the cabinet
","Votes count. But do they add up?  
",2020-05-21
"False flag operation by India imminent: Imran
","Indian diplomat summoned by foreign ministry.
",2020-05-21
"Virus has killed three journalists, infected 156, says PFUJ
","The report highlights that camera journalists and photojournalists have been the biggest sufferers.
",2020-05-21
"PPP rejects team set up to investigate plane crash
","Nafisa opposes CAA’s representation in the panel
",2020-05-26
"Pakistan goes wild for blockbuster Turkish drama
","ISLAMABAD: Dubbed the Muslim “Game of Thrones”, a drama about the makings of the Ottoman Empire has sent ...
",2020-05-26
"Fawad makes strong case for using tech to settle Eid moon issue
","ISLAMABAD: Federal Minister for Science and Technology Fawad Chaudhry, who again triggered a controversy over moon...
",2020-05-26
"Pilots’ body holds PIA, CAA liable for crash
","KARACHI: A day after it demanded a thorough probe into the plane crash tragedy, the Pakistan Airlines Pilots...
",2020-05-26
"World Bank to fund $200m for KP’s health, education project
","Financing from IDA involves $137.50m as soft loan and $62.50m as grant assistance.
",2020-05-26
"COMMENT: People of Balochistan deserve better
","MORE than 45 years ago, Jamil Ahmed, a young civil servant posted in the border areas of Balochistan, started ...
",2020-05-26
"Clerics lambast Fawad for making Eid announcement
","Minister announces all coordinates of moon before Ruet-i-Hilal committee’s meeting.
",2020-05-26
"Pemra destroying radio broadcasting industry: PBA
","Body says Pemra has started collecting huge amounts as license renewal fees from private broadcasters.
",2020-05-26
"British-Pakistani woman becomes first hijab-wearing judge
","Raffia Arshad, 40, appointed deputy district judge on the Midlands circuit last week following a 17-year career in law. 
",2020-05-29
"No immediate plan to go for stricter lockdown: govt
","Zafar Mirza says NCC will meet on June 1 to review situation.
",2020-05-29
