Headlines,Summary,Time
Samples taken from more drug factories,"KARACHI, Feb 3: In view of contamination found in an isosorbide-5-mononitrate preparation used to prevent or reduce the occurrence of angina, federal drug inspectors posted here have started collecting samples of similar products from other factories. 
    ",05/02/2012
Bill on appointment of additional judges signed,"ISLAMABAD, Feb 3: President Asif Ali Zardari on Friday signed two agreements, a bill and two notifications including one that confirmed the appointment of three jurists as additional judges of Sindh High Court (SHC), said president’s spokesman Farhatullah 
    ",05/02/2012
US ‘closely watching’ contempt case,"WASHINGTON, Feb 3: The United States was closely watching the contempt case against Prime Minister Yousuf Raza Gilani, the State Department said on Friday. 
    ",05/02/2012
Economy can be turned around through discipline: former SBP governor,"ISLAMABAD, Feb 3: Trade with India can multiply five times if Pakistan is able to capture even one per cent of India’s market of 300 million middle-class individuals, Dr Ishrat Husain, a former governor of the State Bank, said here on Friday. 
    ",05/02/2012
After PM meets demands: Health workers end strike,"ISLAMABAD, Feb 3: Prime Minister Yousuf Raza Gilani on Friday enhanced the pay of the paramedical staff of the federal government hospitals, bringing their month-long strike to an end. 
    ",05/02/2012
Opposition in AJK assembly stages walkout,"MUZAFFARABAD, Feb 3: The opposition Pakistan Muslim League-Nawaz (PML-N) and two out of four Muslim Conference (MC) lawmakers staged a walkout from the AJK Legislative Assembly here on Friday, protesting the alleged brush-off given 
    ",05/02/2012
Body found in sack,"RAWALPINDI, Feb 3: Body of a young girl with deep wounds on her head was found stuffed in a sack which was lying near a mosque in Gulistan colony on Friday, police said. 
    ",05/02/2012
LPG becomes most expensive fuel in country,"ISLAMABAD, Feb 3: As the price of Liquefied Petroleum Gas (LPG) is increased by Rs15 per kilogram to reach a new high ever, the industry players have blamed the government for imposing more than Rs11 per kg as petroleum levy on LPG. 
    ",05/02/2012
GB appellate court gets new chief,"GILGIT, Feb 3: Justice (retd) Rana Mohammad Arshad Khan, former judge of the Lahore High Court, has been appointed as Chief Judge of Supreme Appellate Court of Gilgit-Baltistan, official sources said. 
    ",05/02/2012
US lawmakers seek citizenship for Dr Afridi,"WASHINGTON, Feb 6: Anyone who assisted the US on its operation against Osama bin Laden, was working against Al Qaeda and not against Pakistan, the Pentagon said on Monday, while commenting on Islamabad’s decision to detain a physician who helped CIA find  
    ",06/02/2012
Electoral rolls can’t be used before May,"ISLAMABAD, Feb 6: The National Database and Registration Authority (Nadra) will be able to prepare computerised electoral rolls by the end of this month, but they could not be used for elections if they are held before May. 
    ",06/02/2012
Three gas pipelines blown up,"QUETTA, Feb 6: Three gas pipelines in the Loti field area were blown up on Monday, disrupting gas supply to the Loti purification plant. 
    ",06/02/2012
APNS invites entries for award,"KARACHI, Feb 6: The All Pakistan Newspapers Society has invited entries for the 21st APNS Journalist Awards from journalists, photographers and cartoonists of member publications. 
    ",06/02/2012
BA seeks arrest of Domki women’s murderers,"QUETTA, Feb 6: The Balochistan Assembly unanimously adopted a resolution on Monday, asking Prime Minister Yousuf Raza Gilani to pay a visit to Quetta to express solidarity with the people of the province who are in a 
    ",06/02/2012
Two children injured in shelling,"PESHAWAR, Feb 6: Hangers at a helipad near a paramilitary base in North Waziristan were damaged in a rocket attack on Saturday night. 
    ",06/02/2012
No progress in arrest of killers,"ISLAMABAD, Feb 6: The Supreme Court was informed on Monday that no marked progress had been made in arresting the killers of a sister and niece of the chief of the Balochistan Republican Party (BRP), Brahamdagh 
    ",06/02/2012
Man in terror case to change plea to guilty,"CHICAGO, Feb 6: An attorney for a Pakistani-born American taxi driver accused of attempting to send money to Al Qaeda says his client will change his plea to guilty. 
    ",06/02/2012
"Drone strikes kill rescuers, says report","NEW YORK, Feb 6: The drone attacks in Federally Administered Tribal Areas (Fata) have repeatedly targeted rescuers who rush to the scene of a strike, as well as mourners at subsequent funerals, according to a blistering new report released on Sunday. 
    ",06/02/2012
"Unclaimed cars on Superdari: Judges, police officers face action","ISLAMABAD, Feb 6: The Islamabad High Court (IHC) on Monday directed the district and sessions judge, chief commissioner and inspector general of police Islamabad to take action against those judges and senior officials 
    ",06/02/2012
PR to approach NAB against encroachers,"RAWALPINDI, Feb 6: Pakistan Railways has said it will approach the National Accountability Bureau (NAB) against government departments, including the joint staff headquarters and Defence Housing Authority (DHA), 
    ",06/02/2012
26 FDE projects face delay,"ISLAMABAD, Feb 6: The government has not released second installment of Rs100 million allocated under the Public... 
    ",06/02/2012
Extremists roam free as politicos bicker,"ISLAMABAD, Feb 6: Interior Minister Rehman Malik wants the Punjab government to take to task its officials who allegedly let two firebrand leaders of the banned Sipah-i-Sahaba Pakistan (SSP) sneak into Islamabad last 
    ",06/02/2012
"Upper Dir, Abbottabad in deep freeze","UPPER DIR/ABBOTTABAD, Feb 6: Life continued to be paralysed in most parts of Upper Dir and Galayat region on Monday due to heavy snowfall, which led to very low temperatures, road blockades, suspension of electric 
    ",06/02/2012
Eid Milad observed peacefully in Peshawar,"PESHAWAR, Feb 6: The Eid Miladul Nabi was celebrated in the provincial metropolis with religious zeal and fervour under tights security arrangements on Sunday. 
    ",06/02/2012
"Militant attack in Kurram: Soldier killed, 12 injured","PARACHINAR, Feb 6: A soldier was killed and 12 injured after militants attacked a vehicle of security forces in Shaheedano Dhand area of Lower Kurram Agency near Pak-Afghan border on Monday. 
    ",06/02/2012
Gilgit plunges into darkness,"GILGIT, Feb 6: The recently repaired Naltar power project again developed fault on Monday due to which electricity supply to various parts of the Gilgit city was suspended. 
    ",06/02/2012
Sherpao announces move for peace in region,"CHARSADDA, Feb 8: Chairman of his own faction of Pakistan People’s Party Aftab Ahmad Khan Sherpao has said that he will launch a movement to restore peace in the region. 
    ",08/02/2012
Entries invited for APNS ad awards,"KARACHI, Feb 8: The All Pakistan Newspapers Society has invited entries for the 22nd APNS Advertising Awards. 
    ",08/02/2012
NAB to investigate embassy buildings’ sale,"ISLAMABAD, Feb 8: The National Accountability Bureau (NAB) decided on Wednesday to investigate the sale of Pakistan embassy buildings in Tokyo and Jakarta at throwaway prices. 
    ",08/02/2012
Grenade attack on tyre shop,"QUETTA, Feb 8: Four people were wounded when unidentified men hurled a grenade attack into a tyre shop in the Zarghoon road area on Wednesday evening, officials said. 
    ",08/02/2012
Ijaz files reply to Haqqani’s application,"ISLAMABAD, Feb 8: Pakistani-American businessman Mansoor Ijaz, who has been keeping away from the memo inquiry commission citing security reasons, requested the commission on Wednesday not to close 
    ",08/02/2012
Pilot dies as PAF jet crashes,"QUETTA, Feb 8: A pilot of Pakistan Air Force was killed when his F-7PG jet crashed in Pishin district, some 100km north of Quetta, on Wednesday. 
    ",08/02/2012
Pill that killed: just about everything went wrong,"ISLAMABAD, Feb 8: As the Supreme Court directed the government to establish a Drug Regulatory Authority within 10 days, questions lingered about the ability of the proposed arm to ensure 
    ",08/02/2012
Anthrax case hushed up?,"ISLAMABAD, Feb 8: Police have been denied access to evidence to investigate arrival of a packet containing anthrax at Prime Minister Secretariat and directed to keep away from the case, Dawn has learnt. 
    ",08/02/2012
Defence secretary post: Court bars permanent appointment,"ISLAMABAD, Feb 8: While taking up a petition filed by sacked defence secretary Lt-Gen (retired) Khalid Naeem Lodhi, the Islamabad High Court (IHC) on Wednesday restrained the government from filling the 
    ",08/02/2012
Trader killed as groups clash in Peshawar,"PESHAWAR, Feb 8: One trader was killed and three others sustained injuries when two groups of shopkeepers opened fire on each other at Shaheen Bazaar here on Wednesday, police said. 
    ",08/02/2012
Children in KP village schools do poorly,"PESHAWAR, Feb 8: Around 60 per cent of grade II students in the rural areas of Khyber Pakhtunkhwa’s 14 districts cannot read texts in Urdu or their mother tongue and over 70 per cent English text, says a survey. 
    ",08/02/2012
Provincial govt faces uphill task to contain polio virus,"PESHAWAR, Feb 8: The Khyber Pakhtunkhwa health department is facing an uphill task to eradicate ‘indigenous’ polio virus in Peshawar, according to officials. 
    ",08/02/2012
ANP names candidates for Senate polls,"PESHAWAR, Feb 8: The Awami National Party has nominated six candidates for the upcoming Senate election. 
    ",08/02/2012
Committed workers keep themselves aloof from PPP,"PESHAWAR, Feb 8: The Pakistan People’s Party needs a major leap forward to reconnect with its dismayed workers and activate its grassroots organisations to come out of a prolonged hibernation in Khyber 
    ",08/02/2012
SBP waives succession certificate condition,"KARACHI, Feb 7: The State Bank as waived the condition of succession certificate for legal heirs in respect of unclaimed deposit refund of deceased account-holders or beneficiaries of instrument of Rs100,000 and below. 
    ",08/02/2012
SC asks govt to seek delay in Reko Diq arbitration,"ISLAMABAD, Feb 7: The Supreme Court directed the federal and Balochistan governments on Tuesday to request the International Chambers of Commerce (ICC) and the International Centre for Settlement of 
    ",08/02/2012
Govt rules out reversal of oil price hike,"ISLAMABAD, Feb 7: The government ruled out on Tuesday reversal of recent increase in the prices of petroleum products, saying that it was indexed and linked to the international prices and there was no way 
    ",08/02/2012
NAB to probe Rs4 billion NLC scam,"ISLAMABAD, Feb 15: Following investigations carried out by the Planning Commission, Public Accounts Committee (PAC) of the National Assembly and army, the National Accountability Bureau (NAB) decided on 
    ",15/02/2012
JUI-F criticises Nato supply resumption,"ISLAMABAD, Feb 15: The Jamiat Ulema-i-Islam (Fazl) has condemned the government’s decision to partially reopen Nato supplies to Afghanistan through the country before a debate on the issue in parliament. 
    ",15/02/2012
Money ‘meant for camel jockeys misappropriated’,"ISLAMABAD, Feb 15: An inter-ministerial committee has decided to ask the Punjab government to take action against those officials who allegedly embezzled the money received from the United Arab Emirates for 
    ",15/02/2012
Decline in foreign aid worries officials,"ISLAMABAD, Feb 15: The Planning Commission has expressed concerns over decline in foreign aid for financing the public sector development programme (PSDP). 
    ",15/02/2012
Polio case detected,"HYDERABAD, Feb 15: A 12-month-old child, Sundar Lal Bhagri, has been found to be afflicted with polio. 
    ",15/02/2012
Pain hardens resolve of families of missing persons,"ISLAMABAD, Feb 15: It was a sit-in by about 50 distressed people, but their cause was so gripping that the media personnel who came to cover the event in the vast square in front of the parliament building 
    ",15/02/2012
PC raises objections to new airport,"ISLAMABAD, Feb 15: The Planning Commission has said the Civil Aviation Authority (CAA) has not obtained its approval for the new Islamabad International Airport being constructed near Fatehjang, stating the cost of 
    ",15/02/2012
Greater power sharing stressed,"ISLAMABAD, Feb 15: To transform from a national security state to a social welfare state, Pakistan will have to increase the number of stakeholders in the power-sharing arrangement by devolving powers to the lower level as well as among institutions, said 
    ",15/02/2012
Bhatti murder case: Man petitions IHC for release of son,"ISLAMABAD, Feb 15: The Islamabad High Court (IHC) on Wednesday issued notices to a number of respondents and sought comments in a fortnight on a petition seeking release of an accused currently 
    ",15/02/2012
‘20th amendment to ensure transparent polls in future’,"ISLAMABAD, Feb 15: Minister for Kashmir Affairs Mian Manzoor Ahmad Wattoo on Wednesday observed that the passage of 20th amendment bill by the National Assembly has laid the foundation for credible and 
    ",15/02/2012
800 tents delivered to NDMA,"ISLAMABAD, Feb 15: The US government delivered more than 800 tents to the National Disaster Management Authority here on Wednesday to strengthen its capacity to quickly respond in the event of a disaster. 
    ",15/02/2012
Ministry asked to compensate owners of land encroached by ISI,"Rawalpindi, Feb 15: Justice Rauf Ahmed Sheikh of Lahore High Court (LHC) Rawalpindi bench on Wednesday directed the ministry of defence to either vacate or compensate the original owners for the land encroached 
    ",15/02/2012
PA told: PTDC holding back KP’s assets,"PESHAWAR, Feb 15: Pakistan Tourism Development Corporation (PTDC) has withheld billions of rupees worth of immoveable assets and is yet to hand over their possession to the Khyber Pakhtunkhwa government 
    ",15/02/2012
"Alleged rape case: Court orders better security for victim, baby","PESHAWAR, Feb 15: The Peshawar High Court on Wednesday directed the capital city police chief to further enhance the security of an alleged rape victim and her baby girl until a DNA test is performed on the infant to 
    ",15/02/2012
"Man killed, five injured in Jamrud blast","LANDI KOTAL/GHALANAI, Feb 15: One person was killed and five others received injuries when a remote controlled bomb went off at a market in Jamrud tehsil of Khyber Agency on Wednesday. 
    ",15/02/2012
Militants won’t be allowed to regroup in Swat: Hoti,"PESHAWAR, Feb 15: The government and the people of Swat will not let militants regroup in the valley, said Khyber Pakhtunkhwa Chief Minister Ameer Haider Khan Hoti on Wednesday. 
    ",15/02/2012
"Selling, flying kites banned","PESHAWAR, Feb 15: The district administration here on Wednesday banned selling and flying kites for one month to avoid any casualties. 
    ",15/02/2012
Pakistan wants inquiry into tribesmen’s killing,"QUETTA, Feb 14: Pakistan lodged a strong protest with Afghanistan and the Nato-led International Security Assistance Force (Isaf) on Tuesday over the kidnapping and killing of two Pakistani tribesmen 
    ",15/02/2012
Abbottabad Commission: Renting houses by foreigners explained,"ISLAMABAD, Feb 14: The Abbottabad inquiry commission has been briefed in detail on hiring of houses by foreign nationals in Islamabad as it is believed that some family members of Osama bin Laden stayed in the 
    ",15/02/2012
Finalisation of negative list for trade with India deferred,"ISLAMABAD, Feb 14: The cabinet deferred on Tuesday finalisation of negative list for trade with India and directed the ministry of commerce to consult stakeholders before preparing the list. 
    ",15/02/2012
Good ties with India in people’s interest: CM,"KARACHI, Feb 14: Sindh Chief Minister Syed Qaim Ali Shah said on Tuesday that Pakistan and India had a common historical background and they should have good relations with each other in the interest of their 
    ",15/02/2012
Overseas Pakistanis get right to vote,"ISLAMABAD, Feb 14: The Election Commission has granted 3.7 million Overseas Pakistanis the right to vote. Their names will be included in the preliminary electoral rolls. 
    ",15/02/2012
Lok Sabha Speaker arrives on state visit,"ISLAMABAD, Feb 21: The Speaker of Indian Lok Sabha, Meira Kumar, arrived here on Tuesday on a five-day official visit with a seven-member parliamentary delegation. 
    ",21/02/2012
Quetta-bound flights cancelled,"QUETTA, Feb 21: All Quetta-bound flights from Karachi, Lahore, Islamabad and Dubai were cancelled on Tuesday because the runway which was closed on Monday could not be cleared for landings. 
    ",21/02/2012
Airblue crash: centre to appoint new inquiry panel,"PESHAWAR, Feb 21: The federal government has decided to appoint a board of accident inquiry into the Airblue plane crash in line with the orders of the Peshawar High Court, which had expressed dissatisfaction at 
    ",21/02/2012
Polio not confined to conflict zones,"ISLAMABAD, Feb 21: Four new polio cases have been reported from across the country, affirming that the crippling virus is no longer confined to or originating from the conflict-ridden northern areas of Pakistan. 
    ",21/02/2012
PTI leader booked for vandalism,"RAWALPINDI, Feb 21: Pakistan Tehrik-i-Insaf (PTI)`s deputy secretary information Punjab along with his over 100 supporters were booked on the charges of damaging heavy machinery of the city district government and 
    ",21/02/2012
Court stays posting of new attaches,"ISLAMABAD, Feb 21: The Islamabad High Court on Tuesday stayed the posting of 10 newly-selected community welfare attaches at Pakistani missions abroad. 
    ",21/02/2012
Pims board to ascertain MNA`s health,"ISLAMABAD, Feb 21: Administration of Pakistan Institute of Medical Sciences (Pims) has been directed to constitute a medical board to ascertain the health condition of PML-N legislator Anjum Aqeel Khan. 
    ",21/02/2012
Free education sought for students from troubled region,"ISLAMABAD, Feb 21: The National Assembly Standing Committee on Human Rights on Tuesday requested the government to ensure that the students from war-affected areas get free education in universities. 
    ",21/02/2012
Bhatti murder case: Fate of accused to be decided today,"ISLAMABAD, Feb 21: Anti-Terrorism Court (ATC) on Tuesday refused to set the accused in Shahbaz Bhatti murder case free and again gave him to the police with the direction to produce him on Wednesday along with 
    ",21/02/2012
Forces regain control of strategic Darra area,"KOHAT, Feb 21: The security forces claimed to have regained control of strategic Tor Chappar area of Darra Adamkhel during a lengthy operation, launched against militants last month. 
    ",21/02/2012
Missing persons: PHC directs police to register cases against ‘abductors’,"PESHAWAR, Feb 21: The Peshawar High Court on Tuesday ordered registration of FIRs of kidnapping in four cases of missing persons with the observation that government should amend the constitution to do away 
    ",21/02/2012
‘Lucrative’ pay package for GB doctors on cards,"GILGIT, Feb 21: The government of Gilgit-Baltistan is preparing a comprehensive and lucrative pay package for doctors. 
    ",21/02/2012
Trouble brewing for PPP KP chief,"PESHAWAR, Feb 21: A strong group of senior Pakistan People’s Party leaders, including MNAs, is out to persuade party co-chairperson Asif Zardari to replace Khyber Pakhtunkhwa president Senator Sardar Ali Khan 
    ",21/02/2012
Budget may focus on new uplift schemes,"ISLAMABAD, Feb 20: The next budget is expected to focus on the poor, youths and new development schemes. As usual, government employees are likely to get a raise. 
    ",21/02/2012
KP’s district uplift plan in turmoil,"PESHAWAR, Feb 20: The Khyber Pakhtunkhwa government's Rs1.52 billion district development programme is in turmoil due to the district governments' poor performance and their parent department's failure to make them work, according to official account. 
    ",21/02/2012
"Govt working for economic stability, says Khar","LONDON, Feb 20: Foreign Minister Hina Rabbani Khar has said that Pakistan is pursuing the policy of achieving consistent economic stability, because it does not want to continue to rely on foreign aid. 
    ",21/02/2012
Team to probe cracks in GB dam,"GILGIT, Feb 20: Gilgit-Baltistan Legislative Assembly Speaker Wazir Baig on Monday constituted a committee headed by Wazir Shakil, Minister for Water and Power, to investigate reasons behind cracks appeared in the water reservoir of 18MW power station in  
    ",21/02/2012
Sharmeen Obaid-Chinoy dedicates her win to Pakistani women,"KARACHI, Feb 27: One could almost hear the countless Pakistanis who were glued to their TV sets from early Monday morning screaming with joy as the Oscar awards presenters announced the winner in the best 
    ",27/02/2012
"NA session summoned, cancelled","ISLAMABAD, Feb 27: President Asif Ali Zardari summoned on Monday a session of the National Assembly on March 1, but cancelled it soon after without citing any reason. 
    ",27/02/2012
Gas pipeline blown up in Pir Koh field,"QUETTA, Feb 27: A pipeline supplying gas from the Pir Koh field to a purification plant was blown up in the Dera Bugti district on Monday night. 
    ",27/02/2012
PML-N to launch drive for snap polls,"ISLAMABAD, Feb 27: The Leader of Opposition in the National Assembly, Chaudhry Nisar Ali Khan, said on Monday that the PML-N would soon launch a campaign to put pressure on the government for early elections. 
    ",27/02/2012
DPC to back peaceful struggle of the Baloch,"QUETTA, Feb 27: The Difa-i-Pakistan Council announced here on Monday that it would fully support a peaceful struggle of the people of Balochistan for their constitutional, democratic and political rights and 
    ",27/02/2012
`No plan to impose restrictions on media`,"ISLAMABAD, Feb 27: Minister for Information and Broadcasting Dr Firdous Ashiq Awan said on Monday that the government had no intention to impose any restrictions on the media and held out the assurance that a new code of conduct would be finalised in cons 
    ",27/02/2012
FBR officials oppose reforms with another WB loan,"ISLAMABAD, Feb 27: Senior officials of the Federal Board of Revenue have opposed the reforms of tax collection system with another World Bank loan of Rs27 billion ($300 million). 
    ",27/02/2012
Doing it twice for fame,"ISLAMABAD, Feb 27: Prime Minister Yousuf Raza Gilani on Monday may not have remembered that he was inaugurating the same projects at new locations, but newspapers records did. 
    ",27/02/2012
CNG price goes up in Potohar,"ISLAMABAD, Feb 27: The government has imposed an unusual general sales tax on the recently introduced Gas Infrastructure Development Cess raising the compressed natural gas (CNG) prices by Rs1.06 to Rs75.35 per kg in 
    ",27/02/2012
Favour for two works for 46,"ISLAMABAD, Feb 27: The Capital Administration and Development Division (CADD) is all set to regularise the services of 48 contractual teachers in basic pay scale (BPS) 18 and 19 against rules just to oblige two of the 
    ",27/02/2012
Environment tribunals remain non-functional,"ISLAMABAD, Feb 27: The government’s apathy to conserve environment is evident from the fact that none of the environment protection tribunals is operational across the country, Dawn has learnt from sources in the 
    ",27/02/2012
Violation of Constitution: NA panel debates dual nationality of lawmakers,"ISLAMABAD, Feb 28: Parliamentarians from across party lines on Tuesday rued the fact that a number of holders of dual nationality were their colleagues in the National Assembly in violation of the Constitution. 
    ",28/02/2012
Rally held in protest against rights violations in Balochistan,"QUETTA, Feb 28: Hundreds of human rights activists organised a demonstration here on Tuesday in protest against kidnapping of political workers and students and dumping of their bullet-riddled bodies in 
    ",28/02/2012
PM reviews rebuilding work in quake-hit areas,"ISLAMABAD, Feb 28: Prime Minister Yousuf Raza Gilani reviewed on Tuesday projects being carried out by the Earthquake Reconstruction and Rehabilitation Authority (Erra) in quake-affected areas, and formed a 
    ",28/02/2012
Voter verification process begins today,"ISLAMABAD, Feb 28: The preliminary electoral rolls will be put on display at around 55,000 centres across the country on Wednesday (today) to enable the voters to verify the entries. 
    ",28/02/2012
"Govt taking measures to end power shortage, says minister","QUETTA, Feb 28: The Balochistan government was cognizant of management weaknesses hampering resolution of the energy crisis in the province and was taking steps to address it, the provincial Minister for 
    ",28/02/2012
Fault forces Doha-bound PIA plane to return,"KARACHI, Feb 28: A Doha-bound PIA flight had to return to the city due to a mechanical fault after flying for around an hour on Monday night, but left for its destination later after the fault was removed, sources said on 
    ",28/02/2012
EU envoy meets Balochistan governor,"QUETTA, Feb 28: Balochistan Governor Nawab Zulfiqar Ali Magsi has said that ignoring the province in the past created a sense of deprivation among its people. 
    ",28/02/2012
PML-N ready to strike deal with govt in public interest: Nisar,"LAHORE, Feb 28: Leader of Opposition in the National Assembly Chaudhry Nisar Ali Khan says the PML-N is ready to strike deals with the government if doing so “is in the best public interest”. 
    ",28/02/2012
Islamabad not serious in pursuing terror cases,"ISLAMABAD, Feb 28: More than 25 cases of terrorist attacks in Islamabad have been pending in the anti-terrorism courts of Rawalpindi for over a year due to the lackadaisical attitude of the capital territory 
    ",28/02/2012
RMC students protest exam system,"RAWALPINDI, Feb 28: The Young Doctors Association and students of Rawalpindi Medical College (RMC) on Tuesday staged a protest rally against the examination system of University of Health Sciences (UHS) and 
    ",28/02/2012
Pending high profile cases,"Among others, these three cases have not been heard for the past year. 
    ",28/02/2012
A daughter’s quest for parents,"CHAKWAL, Feb 28: Kalsoom Begum, a 30-something woman of Bangladeshi origin living in a remote village in Punjab, yearns to meet her parents from whom she was separated some 27 years ago. 
    ",28/02/2012
Court stops Pesco from collecting fuel charge,"PESHAWAR, Feb 28: The Peshawar High Court on Tuesday restrained the Peshawar Electric Supply Company Limited (Pesco) from recovering fuel adjustment charge (FAC)/fuel price adjustment (FPA) or any arrear on 
    ",28/02/2012
Bacha Khan airport to be expanded,"PESHAWAR, Feb 28: The Khyber Pakhtunkhwa government has decided to expand the Bacha Khan International Airport and acquire land for it from the federal government through the defence ministry. 
    ",28/02/2012
Chinese woman among two shot dead in Peshawar,"PESHAWAR, Feb 28: Two unidentified armed men killed two people, including a Chinese woman, in busy Jahangirpura Bazaar on Tuesday evening and fled. 
    ",28/02/2012
PPP replaces diehard worker with billionaire Senate candidate,"PESHAWAR, Feb 28: The last minute changes in the nominees of Pakistan People’s Party for the upcoming Senate elections from Khyber Pakhtunkhwa, replacing a diehard party worker by a wealthy independent 
    ",28/02/2012
Another missing man returns,"QUETTA, Feb 27: A young resident of Noshki, who remained missing for a month and a half, returned home on Monday. 
    ",28/02/2012
Slap leads to stay of T.M. Khan result,"ISLAMABAD, Feb 27: Taking serious notice of the manhandling of an assistant presiding officer at a polling station in Tando Mohammad Khan, the Election Commission (EC) decided on Monday to withhold the official 
    ",28/02/2012
"Meddling in country`s affairs to be thwarted, says Hoti","NOWSHERA, Feb 27: Khyber Pakhtunkhwa Chief Minister Ameer Haider Khan Hoti on Monday said no one would be allowed to use Pakhtun land for terrorist activities and that `international game` for interference in 
    ",28/02/2012
Multi-billion rupee Fata fund out of auditors’ reach,"PESHAWAR, Feb 27: Although collected as a levy in the Federally Administered Tribal Areas, the multi-billion rupees Agency Development Fund remains unaccounted as civil authorities do not share expenditure 
    ",28/02/2012
Protest against Quran desecration,"PESHAWAR, Feb 27. Activists of National Peace Committee for Interfaith Harmony (NPCIH) on Monday held a protest demonstration against desecration of Holy Quran by US-led forces in Afghanistan. 
    ",28/02/2012
Two injured in exchange of fire in GB,"GILGIT, Feb 27: Two people were injured following an exchange of fire between two groups over a land dispute in Chilmish Das, some 15km south of Gilgit town on Monday, police said. 
    ",28/02/2012
Peshawar school strives to beat the Taliban trap,"PESHAWAR, Feb 27: The boy was 2 when his mother dumped him on the streets and 4 when he spent his first night in a tiny prison cell, being sexually assaulted by an older inmate. 
    ",28/02/2012
ANP resolves differences among workers in Buner,"BUNER, 27: The district leadership of the ANP resolved the differences among party workers at a meeting held at Qisar Abad Swari on Monday. 
    ",28/02/2012
Only Jamaat benefits from political reforms in Fata,"PESHAWAR, Feb 27: Since the extension of Political Parties Order, 2002 to the Federally Administered Tribal Areas in August last, the Jamaat-i-Islami so far seems to be the only party taking full advantage of the 
    ",28/02/2012
Govt plans to set up national water council,"ISLAMABAD, March 2: The government is working on setting up National Water Council (NWC) to launch a coordinated National Water Initiative for federal and provincial governments in areas of flood control, 
    ",02/03/2012
MQM chief’s veiled threat over quota system,"KARACHI, March 2: In what appears to be a veiled message to those favouring the continuation of a rural and urban quota system in Sindh, Muttahida Qaumi Movement chief Altaf Hussain said on Friday that nobody 
    ",02/03/2012
‘Cold war’ between two top secretaries,"ISLAMABAD, March 2: The federal capital these days is witnessing a cold war between two grade-22 secretaries --- Principal Secretary to the Prime Minister Khushnood Akhtar Lashari and his predecessor Nargis 
    ",02/03/2012
PML-N MPA quits over ‘lack of trust’,"LAHORE, March 2: A PML-N member of Punjab Assembly, Yasin Sohal, tendered his resignation on Friday in protest against his party’s demand that he should show how he was voting before casting his ballot during the 
    ",02/03/2012
Another leader ready to ditch PML-Q,"ISLAMABAD, March 2: Pakistan Muslim League-Quaid (PML-Q), after losing a number of senior leaders to Pakistan Tehrik-i-Insaf (PTI), is poised to bear another shock as its president of Khyber-Pakhtunkhwa (KP) 
    ",02/03/2012
Formality for a farce,"ISLAMABAD, March 2: Back in January, Higher Education Commission (HEC) invited applications for numerous vacant posts of members and directors through an advertisement, but, if the rumour mill is to be 
    ",02/03/2012
Geyser explodes,"ISLAMABAD, March 2: A geyser at the residence of a Pakistan Electronic Media Regulatory Authority (Pemra) official exploded on Friday, damaging the property. 
    ",02/03/2012
`Food poisoning` lands 40 nurses in hospital,"RAWALPINDI, March 2: As many as 40 nurses of Benazir Bhutto Hospital (BBH) rushed to the emergency ward of the hospital on Friday after they suffered suspected food poisoning. 
    ",02/03/2012
Students find serving good cause hard,"ISLAMABAD, March 2: Extra curricular activities in schools and colleges help build the character of students and are welcome, but perhaps not if the students are left to tend for themselves at the end of an activity. 
    ",02/03/2012
Baloch cultural day celebrated,"ISLAMABAD, March 2: In its ongoing efforts to provide equal opportunities to all the provinces and regions for promoting their folk cultures, Lok Virsa celebrated `Baloch Cultural Day` on Friday. 
    ",02/03/2012
Govt may raise withholding tax on luxury cars,"ISLAMABAD, March 1: The government has said that floods over the past two years have caused losses of about $14 billion and indicated that withholding tax on luxury vehicles would be increased in the next budget. 
    ",02/03/2012
Nawaz reiterates terms for attending APC,"NAWABSHAH, March 1: PML-N chief Mian Mohammad Nawaz Sharif has reiterated his stand that his party will not attend all parties conference on Balochistan convened by the prime minister unless murderers of Nawab Akbar Bugti have been brought to book and mis 
    ",02/03/2012
Imran announces protests against fuel price hike,"ISLAMABAD, March 1: Pakistan Tehrik-i-Insaaf chairman Imran Khan criticised on Thursday the increase in prices of petroleum products and CNG and said his party would hold countrywide protests on Friday against the government decision. 
    ",02/03/2012
Workers’ rights bill sails through Senate,"ISLAMABAD, March 7: The Industrial Relations Act (IRA), 2012, was unanimously passed by the Senate on Wednesday. The bill was moved by PPP stalwart Mian Raza Rabbani. 
    ",07/03/2012
Service extension granted despite poor performance,"ISLAMABAD, March 7: Prime Minister Yousuf Raza Gilani has granted one-year extension in service to close relatives of parliamentarians posted in Pakistani missions abroad even though the commerce ministry had received negative reports about their performa 
    ",07/03/2012
‘Army has no role in Nato supplies’,"ISLAMABAD, March 7: A spokesperson for the National Logistics Cell (NLC) confirmed on Wednesday that the organisation was involved in the regulation, control and monitoring of US/Isaf/Nato supplies, a task assigned 
    ",07/03/2012
PPP activist shot dead,"KARACHI, March 7: An activist of the Pakistan People’s Party was shot dead and a young boy injured here on Wednesday night. 
    ",07/03/2012
Islamabad wakes up to welcome Women’s Day,"ISLAMABAD, March 7: Inter-national Women’s Day is on the 8th of March. And in celebration of this oncoming day to recognise the struggle to give women more rights, the mood in Islamabad was almost as enthusiastic as on Valentine’s Day almost a month ago. 
    ",07/03/2012
