Headlines,Summary,Time
Little girl dies in roof collapse,"SIALKOT, May 19: A minor girl was killed while her father was injured seriously when the roof of a room in their house collapsed at Glotiyaan village, Daska, here on Saturday. 
    ",19/05/2012
Ringleader of highwaymen arrested in GB,"GILGIT, May 26: Police in Diamer district claimed to have arrested the ringleader of a robbers gang that was active on the Karakuram Highway. 
    ",26/05/2012
Drone kills five in N. Waziristan,"MIRAMSHAH, May 27: A US drone attack late on Sunday night killed at least five militants in Hassokhel town, 25km east of Miramshah. 
    ",27/05/2012
Stray bullet kills passer-by,"RAWALPINDI, May 27: A passer-by who was critically injured by a stray bullet fired by one of the quarrelling men in Sadiqabad area on Saturday, died in the hospital on Sunday, police said. 
    ",27/05/2012
Police seen as selective in their successes,"ISLAMABAD Police are enjoying high praise for recovering the city's famous bookseller Mohammad Yousuf and arresting his kidnappers. But the more lasting impression the success left on the minds of the grateful 
    ",27/05/2012
Power supply to Bajaur disrupted: Children among 10 injured by stray shells in Bara,"LANDI KOTAL/KHAR, May 27: At least 10 people, including five children and a woman, were wounded when stray artillery shells fell in three different localities of Bara tehsil of Khyber Agency on Sunday, while 
    ",27/05/2012
12 militants killed in Tirah,"LANDI KOTAL, June 4: Twelve militants were killed in aerial shelling and a clash between rival groups in Tirah valley of Khyber Agency on Monday 
    ",04/06/2012
"Woman, son shot dead in Mardan","MARDAN, June 6: A woman and her son were killed when unidentified assailants opened firing on them outside a hotel on Mardan-Malakand road here on Wednesday, police said. 
    ",06/06/2012
US drone attack kills three in Miramshah,"MIRAMSHAH, June 14: Three people were killed and another suffered injuries on Thursday morning when a US drone targeted a residential compound in Miramshah in North Waziristan. 
    ",14/06/2012
Two rockets hit Quetta,"QUETTA, June 14: Unidentified men fired two rockets in Quetta on Thursday night which exploded in open places, causing no casualties or damage to property. 
    ",14/06/2012
Man shoots wife dead,"RAWALPINDI, June 14: A man shot his wife dead at her parents’ house in Railway Line locality in the limits of Airport police station on Thursday night, police said. 
    ",14/06/2012
Vani case: Police arrest five jirga members in Mansehra,"MANSEHRA, June 14: The police arrested five people and continued search for two others who held a jirga the other day and declared a minor girl as vani to settle an honor-related dispute between two families in Kotli Pain area, officials said on Thursday. 
    ",14/06/2012
"Man kills brothers, self in Peshawar","PESHAWAR, June 14: A taxi driver allegedly committed suicide after killing his two brothers and injuring mother inside their house in Badbher locality here on Thursday over a trivial issue of washing a taxi. 
    ",14/06/2012
Three gunned down in Karachi,"KARACHI, June 17: Three people, including a police constable and an activist of the MQM, were shot dead late on Sunday night. 
    ",17/06/2012
"Peace volunteer, son shot dead in Dir","TIMERGARA, June 17: Unidentified militants killed an active member of Maidan Peace Committee along with his 13-year-old son on Saturday night. 
    ",17/06/2012
13 killed in copter attacks,"LANDI KOTAL, June 20: Thirteen militants were killed and several others injured when helicopter gunships bombed Taliban positions in Tirah valley of Khyber Agency on Wednesday. 
    ",20/06/2012
Four drown in well,"RAWALPINDI, June 20: Four boys, including two brothers, drowned in a well while two others were in critical condition in Chak Amral, a village in Chauntra, on Wednesday night, police said. 
    ",20/06/2012
Dir policemen hurt as their van hits IED,"TIMERGARA, June, 20: The Zaimdara police station SHO and a constable were injured when a police mobile van hit an improvised explosive device near Nagotal area here on Wednesday. 
    ",20/06/2012
Third suicide case in three days,"RAWALPINDI, July 3: A fruit vendor, who immolated himself publicly at Liaquat Bagh on Monday night, died at the burn ward of Pakistan Institute of Medical Sciences (Pims) on Tuesday while a man took his life by shooting himself in Dhoke Ratta the same day 
    ",03/07/2012
"Bannu jail escapee, protector held in Lakki","LAKKI MARWAT, July 3: Police on Tuesday arrested an escaped Bannu prisoner and his protector during a raid in Abakhel village here. 
    ",03/07/2012
Levies man among two killed,"QUETTA, July 2: Two people, one of them a Levies constable, were killed in separate incidents in Balochistan on Monday, police sources said. 
    ",03/07/2012
Pir accused of rape arrested,"RAWALPINDI, July 6: Local police on Friday arrested a Pir for allegedly declaring a sick teenage girl possessed by djinns and raping her to free her of the ethereal spirits 
    ",06/07/2012
SI killed in Peshawar blast,"PESHAWAR, July 6: A police sub-inspector was killed and three constables were injured when a roadside bomb exploded near their van on Takhtabad road in the limits of Daudzai police station here on Friday evening 
    ",06/07/2012
Killers of clerics held in Quetta,"QUETTA, July 5: Police have arrested three alleged target killers, involved in the killing of some Ulema, after heavy exchange of fire in the provincial capital. 
    ",06/07/2012
"Gangsters free car lifter, kill cop, taxi driver","ATTOCK, July 8: Four armed bike riders got an alleged car lifter released from police custody after killing a constable and a taxi driver and injuring two other police officials here on Sunday. 
    ",08/07/2012
"Two militants killed, eight hurt Cross-border attack repulsed in Bajaur","KHAR/KOHAT, July 8: Two militants were killed and eight others received injuries as security forces and Mamond Qaumi Lashkar repulsed a cross-border attack in Kagga area of Bajaur tribal region on 
    ",08/07/2012
Policeman shot dead in Peshawar,"PESHAWAR, July 8: Unidentified armed persons shot dead an assistant sub-inspector of police on Charsadda Road in the limits of Khazana police station here on Sunday. 
    ",08/07/2012
Turbat DC suspended,"QUETTA, July 7: The Balochistan government suspended on Saturday Turbat Deputy Commissioner Aslam Tareen following the killing of 18 people by gunmen at a roadside restaurant on Friday night, official sources said. 
    ",08/07/2012
Impersonators arrested,"ISLAMABAD, July 7: Two persons were arrested for disguising themselves as policemen and using the gear of the law enforcement agency, police said on Saturday. 
    ",08/07/2012
"Cop killed, three hurt in Peshawar blast","PESHAWAR, July 7: One policeman was killed and three others including an additional station house officer were injured in a roadside blast here on Saturday evening. 
    ",08/07/2012
Landmines injure three security men in Orakzai,"KALAYA/PARACHINAR, July 7: Three security personnel suffered injuries when two of their vehicles were targeted by landmines in Gaween area while six missiles were fired at Kalaya, the agency headquarters of Orakzai Agency, on Saturday. 
    ",08/07/2012
"Man, son shot dead by rivals","JHANG, July 7: A man and his son were killed by their rivals on Jhang-Faisalabad Road here on Saturday afternoon. 
    ",08/07/2012
Youth commits suicide,"RAWALPINDI, July 22: A young man killed himself by jumping in front of a passenger train near Rahimabad (Chaklala) on Sunday, police said. 
    ",22/07/2012
Two militants arrested in Lakki Marwat,"LAKKI MARWAT, July 22: Police arrested two alleged militants during a raid in Shah Hasankhel village here on Sunday. 
    ",22/07/2012
Wanted man caught in Dubai an enigma,"ISLAMABAD, Aug 1: After local television channels reported that the Federal Investigation Agency (FIA) with the help of Interpol had arrested run-away murder accused Roohullah in Dubai, the capital police have asked Interpol for information about the man, 
    ",01/08/2012
Court decides murder case,"GUJAR KHAN, Aug 1: The Additional Sessions Judge Syed Asghar Ali handed down death sentence to a killer of his wife while pronouncing decision of a murder case here on Wednesday. 
    ",01/08/2012
Five prisoners escape from Chilas jail,"GILGIT, Aug 1: Five under trial prisoners escaped after breaking the locks of Chilas District Jail late on Tuesday night, while a search operation to arrest them had been launched, district administration officials said. 
    ",01/08/2012
"Seven militants, soldier killed in Orakzai clash","KALAYA, Aug 1: Seven militants and a security man were killed in a clash in Dabori area of Orakzai tribal region on Wednesday, sources said. 
    ",01/08/2012
Two shot dead,"RAWALPINDI, Aug 3: Two persons from rival groups were shot dead at Ghareebabad (Chaklala) on Friday night. 
    ",03/08/2012
Man murdered,"RAWALPINDI, Aug 3: A man was shot dead while he was sleeping in his house in mohallah Dar-us-Salam (Tench Bhatta) on Friday, police said. 
    ",03/08/2012
Man dies in Gilgit blast,"GILGIT, Aug 5: A man was killed and four others were injured when a bomb blast ripped through a van in Minawar area of the city on Sunday, officials said. 
    ",06/08/2012
Girl kidnapped in broad daylight,"ISLAMABAD, Aug 5: A four-year-old girl was kidnapped by two unidentified persons from outside her house in Shahzad Town on Sunday, police and the family of the missing girl said. 
    ",06/08/2012
Two killed for honour,"ATTOCK, Aug 5: A boy and a girl were killed at Jangla village of Pindgheb police station. 
    ",06/08/2012
"Militant, peace volunteer killed in Bara clash","LANDI KOTAL, Aug 5: A militant and a volunteer of a local peace committee were killed in a clash in Bara subdivision of Khyber Agency on Sunday. 
    ",06/08/2012
Three killed in Khuzdar clash,"QUETTA, Aug 19: Three people were killed and three others injured in an armed clash between two groups of a tribe in Ornach area of Khuzdar district on Sunday, Levies Force sources said. 
    ",20/08/2012
Two killed in a family feud,"KARAK, Aug 19: Two people of a family, including a woman, were killed in the district over land dispute, while nine were injured in four separate incidents on Sunday. 
    ",20/08/2012
Three ‘terror suspects’ held near Chaklala,"RAWALPINDI, Aug 18: Personnel of law-enforcement agencies arrested three suspected terrorists near Chaklala Airbase on Saturday in connection with the Kamra attack and picked up from various parts of the country relatives and associates of four attackers  
    ",20/08/2012
Renewed wave of violence kills three more in Karachi,"KARACHI, Aug 18: At least three people, including a political activist and Moazzin of a mosque, were killed in separate incidents of firing on Saturday night, officials said. 
    ",20/08/2012
Three drivers kidnapped,"QUETTA, Aug 18: At least three truck drivers were kidnapped from Karachi-Quetta highway in Khuzdar area on Saturday. Police sources said a convoy of trucks was on its way to the provincial capital when some armed men in a vehicle intercepted them in Khuzd 
    ",20/08/2012
Three killed in Khuzdar clash,"QUETTA, Aug 19: Three people were killed and three others injured in an armed clash between two groups of a tribe in Ornach area of Khuzdar district on Sunday, Levies Force sources said. 
    ",21/08/2012
Two killed in a family feud,"KARAK, Aug 19: Two people of a family, including a woman, were killed in the district over land dispute, while nine were injured in four separate incidents on Sunday. 
    ",21/08/2012
Security guard robs bank of valuables,"KARACHI, Aug 23: A private security guard broke open lockers of a bank in Site area the night before Eid and robbed valuables, police said on Thursday. 
    ",23/08/2012
Man kidnapped in Quetta,"QUETTA, Aug 23: A man was kidnapped from Satellite Town area of the provincial capital on Thursday night, police sources said. 
    ",23/08/2012
Nepali man bites snake to death in ‘revenge attack’,"KATHMANDU, Aug 23: A Nepali man who was bitten by a cobra snake bit it back and killed the reptile in a tit-for-tat attack, a newspaper said on Thursday. 
    ",23/08/2012
Three commit suicide in Swabi,"SWABI, Aug 23: Three people, including two women, committed suicide while a young man drowned in a local rainwater pond here on Thursday, police said. 
    ",23/08/2012
Family loses four children in accident,"PESHAWAR, Aug 22: Four children of a family, including three girls, were killed and three injured in a road accident on GT Road in the suburbs of the provincial capital late on Tuesday. 
    ",23/08/2012
"Policeman killed, four injured in Dir ambush","TIMERGARA, Sept 2: A policeman was killed and four others sustained injuries when their vehicle came under attack at Bazarak Khwar near Afghan refugees’ camp in Lower Dir on Saturday night. 
    ",02/09/2012
"Policeman killed, four injured in Dir ambush","TIMERGARA, Sept 2: A policeman was killed and four others sustained injuries when their vehicle came under attack at Bazarak Khwar near Afghan refugees’ camp in Lower Dir on Saturday night. 
    ",03/09/2012
Four killed in Khuzdar,"QUETTA, Sept 3: Four people, among them a Levies Force official, were killed and two others injured in armed attacks in Khuzdar town on Monday, police said. 
    ",04/09/2012
Day of reckoning for ‘blasphemy cleric’,"Police investigators investigating the blasphemy case involving a girl, found two more eyewitnesses against the prayer leader. 
    ",04/09/2012
Two die in separate incidents,"ATTOCK, Sept 3: Two persons were killed in separate accidents in the Basal police area, police said on Monday. 
    ",04/09/2012
Two injured in firing after police-FC row,"PESHAWAR, Sept 3: A policeman and an official of Frontier Corps received injuries when they exchanged fire at Charsadda Road here on Monday. 
    ",04/09/2012
"TTP generating funds from Pindi, Islamabad","ISLAMABAD, Sept 5: Two suspects operating a network for the Tehrik-i-Taliban Pakistan (TTP) in the twin cities for generating funds via extortion and kidnapping were arrested by a joint investigation team of security forces and capital police, sources clo 
    ",05/09/2012
Police raid: lame takes the blame,"RAWALPINDI, Sept 4: One of police’s most wanted criminals and his six accomplices escaped after a brief encounter with a police party which conducted a late night raid on his residence in Race Course police area on Monday. 
    ",05/09/2012
Masked men kill three in Miramshah,"MIRAMSHAH, Sept 4: Two security men and a civilian were killed when their vehicle was attacked on Miramshah-Dattakhel Road on Tuesday. 
    ",05/09/2012
School fight ends in three murders,"RAWALPINDI, Sept 7: A brawl among schoolchildren in the PTCL Colony in the cantonment area on Thursday ended in the cold blooded murder of three brothers and injuries to two others late in the night. 
    ",07/09/2012
Two drown in Tank,"TANK, Sept 7: A woman and her son drowned while eight others were rescued after a pick-up van fell into a river here on Friday. Locals and police said a passenger van going from Wana to Dera Ismail Khan fell into River Nile Kuch. 
    ",07/09/2012
AIG to head investigation team,"ISLAMABAD, Sept 6: Assistant Inspector General of Police (operation) Tahir Alam Khan was appointed head of investigation team probing the alleged involvement of a Christian girl in blasphemy. 
    ",07/09/2012
"Girl abducted, gang-raped","ISLAMABAD, Sept 6: A taxi driver’s daughter was abducted and subjected to gang rape and torture for four days by a group of three persons, police said on Thursday. 
    ",07/09/2012
Three killed as shell hits house in Tirah,"LANDI KOTAL/KHAR, Sept 6: Three persons, including a minor girl, were killed when a mortar shell fell on a house in Tirah valley in Khyber Agency on Thursday. 
    ",07/09/2012
Five injured in grenade attack,"QUETTA, Sept 19: Five people were injured when gunmen riding a motorcycle hurled a hand-grenade at a house on Shaldra Kasi road here on Wednesday night. 
    ",20/09/2012
Six killed as truck crashes in Salt Range,"CHAKWAL, Sept 19: Six persons were killed, while three sustained injuries, as the truck they were travelling in rammed into a rock on the motorway, in the Salt Range area, police sources said on Wednesday. 
    ",20/09/2012
"Militants block road, kidnap six in Peshawar","PESHAWAR, Sept 19: At least six persons including an industrialist and two employees of a cellular phone company were kidnapped by suspected militants at gunpoint from main Peshawar-Kohat Road in Matani area early on Wednesday morning. 
    ",20/09/2012
Americans too against drones and militarism,"""If there are militants in the tribal area, then who brought them there? Tribal people did not provide a safe-haven to militants."" 
    ",02/10/2012
Three cops hurt in attack,"PESHAWAR, Oct 2: Three policemen were injured when suspected militants attacked their vehicle in Mattani area on Tuesday evening. 
    ",02/10/2012
Three killed in N. Waziristan drone attack,"MIRAMSHAH, Oct 1: Three people were killed when a US drone fired missiles at a moving car near Mirali in North Waziristan on Monday morning, sources said. 
    ",02/10/2012
Car thief caught by chance,"ISLAMABAD, Oct 1: An absconder operating a gang of auto-thieves was arrested by Margalla police for his alleged involvement in over 20 car-lifting activities, police said on Monday. 
    ",02/10/2012
FIR ordered against six cops in custodial killing case,"MARDAN, Oct 13: Local district and sessions judge Shahid Khan on Saturday ordered registration of an FIR against six police officials for the custodial killing of a boy. 
    ",13/10/2012
Bara peace activist’s house blown up,"LANDI KOTAL, Oct 13: Militants blew up the abandoned house of a peace activist in Bara tehsil on Friday night. 
    ",13/10/2012
Two injured in attack on PSF meeting at college,"DERA GHAZI KHAN, Oct 13: Some armed men, including a member of Islami Jamiat Talaba, ransacked on Saturday principal’s office at postgraduate college and opened fire on a congregation of People’s Students Federation, causing injuries to two students. 
    ",13/10/2012
"Soldiers, militant killed in clashes","PESHAWAR/LANDI KOTAL, Oct 14: Two security men and a militant were killed in separate incidents in Peshawar and Bara tehsil of Khyber Agency on Sunday. 
    ",14/10/2012
Girl abducted in Quetta,"QUETTA, Oct 14: Four armed men kidnapped a girl from Killi Muhammad Hasni area of Quetta, police said on Sunday. 
    ",14/10/2012
Police solve year-old murder,"ISLAMABAD, Oct 16: After groping in the dark for 14 months, the Sihala police have solved the mystery shrouding the murder of a young man, Mohammad Haleem, and arrested a man. 
    ",16/10/2012
"Court stops police from reinvestigating murder case
","The Islamabad High Court on Tuesday restrained the police from conducting a fresh inquiry into a murder 
    ",16/10/2012
Four Afghan soldiers found dead in Tirah,"LANDI KOTAL, Oct 16: The bullet-riddled bodies of four Afghan soldiers were found in Tor Darra locality of Tirah valley in Khyber Agency on Tuesday. 
    ",16/10/2012
"Pakistani woman, 4 children killed in UK house fire","LONDON, Oct 15: A Pakistani mother and four of her children were killed on Monday in a suspected arson attack on their home outside London, police said. 
    ",16/10/2012
"Minister’s guard, two attackers killed","QUETTA, Oct 15: A guard of Balochistan Food Minister Asfandyar Khan Kakar and two attackers were killed in an exchange of fire at the residence of the minister on Monday night, sources said. 
    ",16/10/2012
Seven die in Kuchlak clash,"QUETTA, Oct 15: Seven people were killed and four others injured when two groups clashed over a land dispute in Kuchlak area on the outskirts of the city on Monday, police said. 
    ",16/10/2012
Shelling kills 3 in Miramshah,"MIRAMSHAH, Oct 23: Heavy shelling by security forces left three civilians dead and 25 others, including women and children, wounded in Miramshah on Monday night. 
    ",23/10/2012
Three killed in accident,"QUETTA, Oct 23: Three people were killed and 15 others injured in a traffic accident near Kalat on Tuesday. 
    ",23/10/2012
"Suspect, passerby killed in Bara search operation","LANDI KOTAL/GHALANAI, Oct 23: Two persons including a suspected militant were shot dead while another was injured during a search operation in Akkakhel area of Bara on Tuesday, sources said. 
    ",23/10/2012
15 arrested over Hoti convoy attacks,"SWABI, Oct 23: Fifteen people have been arrested over two bomb attacks on the convoy of Chief Minister Ameer Haider Khan Hoti on Monday, district police officer Abdul Rashid said on Tuesday. 
    ",23/10/2012
"Policemen, IB man held in robbery case","PESHAWAR, Oct 30: Local police on Tuesday arrested their four personnel and one official of Intelligence Bureau over an armed robbery and seized foreign and local notes. 
    ",30/10/2012
Murder of ex-AG: Investigators receive threatening calls,"ISLAMABAD, Nov 2: Police officers investigating the murder of a former advocate general of Khyber Pakhtunkhwa in the capital city about two years back are receiving threats, sources told Dawn on Friday 
    ",03/11/2012
Hand over wanted men: Bara tribe given ultimatum,"LANDI KOTAL, Nov 2: The government on Friday gave three days ultimatum to Bar Qambarkhel tribe of Bara tehsil to hand over wanted militants, expel Afghan clerics from their area and close down all torture cells or vacate the region for a possible military 
    ",03/11/2012
Two military officers detained with drugs,"RAWALPINDI, Nov 1: The cantonment police took two army officers into custody on Thursday night after recovering narcotics from their car in Saddar area, police said 
    ",03/11/2012
Eight killed in Balochistan,"QUETTA, Nov 1: Eight people were killed in incidents of firing in different areas of Balochistan on Thursday, sources said 
    ",03/11/2012
Three killed in Balochistan attacks,"QUETTA, Nov 5: Three people were killed in incidents of firing in Bolan, Nushki and Quetta on Monday 
    ",05/11/2012
Four shot dead in North Waziristan attacks,"MIRAMSHAH/GHALANAI, Nov 5: Four persons were killed and two others injured when assailants attacked two vehicles in different areas of North Waziristan Agency 
    ",05/11/2012
"Two militants, soldier killed in Waziristan attack","LADHA, Nov 9: Two militants and a security man were killed after a militant group attacked Thowikhula Scouts Fort in South Waziristan Agency early on Friday. 
    ",09/11/2012
Six Bugti tribesmen die in clash,"QUETTA, Nov 18: At least six Bugti tribesmen were killed and many others injured in an armed clash between two groups of the Bugti tribe in the Pat Feeder area of Nasirabad district on Sunday. Police sources said that an armed group of Bugti tribe attacke 
    ",19/11/2012
Blast on mule track kills three in Bara,"LANDI KOTAL/PESHAWAR, Nov 18: Three persons were killed when a bomb exploded on a mule track in Bara tehsil of Khyber Agency on Sunday, sources said. 
    ",19/11/2012
ASI’s killers stayed in hotel with fake CNICs,"ISLAMABAD, Nov 17: The city police suspect that the four criminals involved in the killing of a police official here on Friday had stayed in a hotel at G-9 on fake identity cards, sources close to the investigation told Dawn on Saturday. 
    ",19/11/2012
Two killed for honour,"ISLAMABAD, Nov 21: A man from Mardan and his sister-in-law were murdered in the name of honour at Dhok Azam, in Islamabad’s rural area, police said. 
    ",21/11/2012
Shia leaders devise own security plan: Army sought for sensitive areas,"RAWALPINDI, Nov 22: While a large number of people attended the funeral prayers of those killed in the Wednesday attack on a procession here, the leadership of Shia community has decided to chalk out a more 
    ",22/11/2012
Peshawar police under attack: Militants kill three cops at checkposts,"PESHAWAR/LANDI KOTAL, Nov 22: Militants on Thursday attacked two police checkposts in the provincial capital, killing three personnel. 
    ",22/11/2012
"Taliban, elders join hands against ‘criminals’ in N. Waziristan","MIRAMSHAH, Nov 22: The local Taliban and elders of Uthmanzai tribe have formed a joint lashkar to take action against those elements, who are involved in target killings, kidnappings and attacks on security forces. 
    ",22/11/2012
Measles takes fifth life in Kalam,"MINGORA, Nov 22: Measles has killed fifth child in Kalam valley of Swat district over the last five months. 
    ",22/11/2012
"80 killed on sectarian ground last month, says party","KARACHI, Dec 1: The Majlis Wahdat-i-Muslimeen (MWM) said on Saturday that 80 people belonging to the Shia community had been killed in terrorist and targeted attacks across the country in November. 
    ",01/12/2012
2 killed by own bomb in Mohmand,"GHALANAI, Dec 2: Two unidentified men were killed by their own bomb near a checkpost in Pandiali tehsil of Mohmand tribal region on Sunday morning, officials said. 
    ",02/12/2012
Relatives of murdered man take to the streets,"RAWALPINDI, Dec 2: Relatives and friends of a man, who was shot dead here on Sunday morning, held a protest demonstration against the police for its failure to arrest the killers. 
    ",03/12/2012
"Prayer leader, wife shot dead in Mansehra","MANSEHRA, Dec 12: A prayer leader and his wife were shot dead by unidentified persons inside their house in Ghanian area of Oghi on Wednesday. 
    ",12/12/2012
"Student, cop killed as shots fired during protest in G-B","GILGIT, Dec 12: A student and a constable of the Elite Force were killed and six others injured from shots fired during a protest demonstration staged by the students of Karakoram International University (KIU) on Wednesday, police said. 
    ",12/12/2012
LJ claims responsibility: Four men gunned down in sectarian attacks,"QUETTA, Dec 13: Four people were gunned down and another was injured by unidentified men in separate attacks in Quetta and Zhob on Thursday, with police saying all victims belonged to the Shia community 
    ",13/12/2012
Principal escapes attempt on life,"QUETTA, Dec 16: Gunmen opened fire at the car of a renowned academician and principal of Tameer-i-Nau college in Eastern Bypass area on Sunday. But luckily he remained unhurt. 
    ",16/12/2012
ASI among five killed in Karachi,"KARACHI, Dec 15: A police officer was killed and a constable injured in an armed attack in Orangi Town on Saturday, bringing the total number of police personnel killed in the metropolis this year to 113, officials said 
    ",16/12/2012
One killed,"ATTOCK, Dec 23: A man was killed in Samah village, located in Hazro police station area, on Saturday evening. 
    ",24/12/2012
Militant commander killed in Tirah firing,"LANDI KOTAL, Dec 23: Three persons including a militant commander were killed in a firing incident in Tirah valley of Khyber Agency on Sunday. Sources said that a member of Tirah-based militant group Ansarul 
    ",24/12/2012
Man shot dead in Gilgit,"GILGIT, Dec 23: Panic gripped the city when unknown assailants shot dead a man and wounded another in separate incidents here on Friday. 
    ",24/12/2012
"Policeman, two Afghan nationals shot dead","QUETTA, Dec 23: Five people, among them a policeman and two Afghan nationals, were killed and another was injured in Quetta and Chaman on Sunday, police sources said. 
    ",24/12/2012
Two fires keep firefighters busy,"RAWALPINDI, Dec 25: Two fires erupted at two different warehouses in the city on Tuesday. 
    ",25/12/2012
Police accused of extortion,"PESHAWAR, Dec 25: Residents of Peshtakhara locality have accused local police of conducting raids at houses of innocent people and forcing them to pay extortion money. 
    ",25/12/2012
Two militants killed in Khyber,"LANDI KOTAL, Dec 25: Two militants were killed and four persons, including two security men, received injuries in separate incidents in Khyber Agency on Tuesday, sources said. 
    ",25/12/2012
Two die in separate incidents,"RAWALPINDI, Dec 24: A girl committed suicide while a pedestrian was shot dead here on Monday, police said. 
    ",25/12/2012
Woman murdered,"ATTOCK, Dec 26: Police have arrested a man on charges of murdering his wife in Dhoke Maiki village of Fatehjang police area, police said on Wednesday. 
    ",26/12/2012
Mehsud scout killed in Khyber attack,"LANDI KOTAL/CHARSADDA, Dec 26: A security man and a teenage girl were killed and four persons including two children received injuries in three separate incidents in Khyber Agency on Wednesday, sources said. 
    ",26/12/2012
Two killed in exchange of fire in Karachi,"KARACHI, Dec 29: Two people were killed and another was injured in an exchange of fire in Malir area of the city on Saturday, police sources said 
    ",29/12/2012
Torkham border reopened after 20 hours,"LANDI KOTAL, Dec 29: The Torkham border was reopened on Saturday after remaining closed for almost 20 hours in protest against beating of two Pakistani truck drivers by Afghan police on December 27 
    ",29/12/2012
Bodies found; woman killed in Khyber,"LANDI KOTAL, Dec 30: Two bullet-riddled bodies were found in Bara tehsil of Khyber Agency while a woman was killed when a mortar shell hit a house in the same area on Sunday. 
    ",31/12/2012
"Man, daughter shot dead in Karachi","KARACHI, Jan 6: A man and his minor daughter were killed and his elder daughter was injured when unidentified men on a motorcycle opened fire at their car near Aisha Manzil in the small hours of Monday. 
    ",06/01/2013
Five killed in Jamrud firing,"LANDI KOTAL, Jan 6: Five persons, including a woman and a minor boy, were killed when unidentified gunmen opened firing on a taxicab in Jamrud area of Khyber Agency on Sunday. 
    ",06/01/2013
"One killed, four hurt in Kurram blast","PARACHINAR/KOHAT, Jan 5: One person was killed and four others were injured in a roadside explosion in Bagun area of lower Kurram Agency on Saturday, sources said. 
    ",06/01/2013
Ex-minister among 15 injured in bomb blast,"CHARSADDA, Jan 12: A former provincial minister and ANP leader, his son and 13 others were injured when a remote-controlled bomb hit his motorcade near Khan Garhi bridge on Saturday, police said. 
    ",12/01/2013
Security man among four hurt in Bara incidents,"LANDI KOTAL, Jan 12: Four persons including a security man were injured in separate incidents in Bara tehsil of Khyber Agency during the last twenty four hours. 
    ",12/01/2013
"Man, woman shot dead","QUETTA, Jan 19: A man and a woman were gunned down by armed men here on Saturday. 
    ",19/01/2013
Kidnapping case: Police officer fined for faulty probe,"PESHAWAR, Jan 19: An anti-terrorism court on Saturday convicted a deputy superintendent of police for conducting defective investigation in a case of kidnapping for ransom. 
    ",19/01/2013
Three men freed by court held again,"LAYYAH, Jan 19: A bailiff raided the Sadar police station on Saturday and got three men released from illegal police custody. 
    ",19/01/2013
Five injured in gas leakage explosion,"GUJAR KHAN, Jan 22: A couple and their three children sustained burn injuries in a gas leakage explosion in their house at Ward No19 area of Gujar Khan city on Tuesday morning, the local people said 
    ",22/01/2013
Another doctor shot dead in Peshawar,"PESHAWAR, Jan 22: Another doctor fell victim to targeted killings in the provincial capital on Tuesday as unidentified people gunned down Dr Shah Nawaz Ali in his cantonment area clinic 
    ",22/01/2013
Five injured in gas leakage explosion,"GUJAR KHAN, Jan 22: A couple and their three children sustained burn injuries in a gas leakage explosion in their house at Ward No19 area of Gujar Khan city on Tuesday morning, the local people said 
    ",23/01/2013
Another doctor shot dead in Peshawar,"PESHAWAR, Jan 22: Another doctor fell victim to targeted killings in the provincial capital on Tuesday as unidentified people gunned down Dr Shah Nawaz Ali in his cantonment area clinic 
    ",23/01/2013
16 children injured in school fire,"PESHAWAR, Jan 24: Sixteen students were injured after a fire gutted their school in Nauthia Phattak area of the provincial capital on Thursday. 
    ",24/01/2013
Five suspects killed in Orakzai house explosion,"KALAYA, Jan 23: Five suspected militants were killed and three others injured on Wednesday in a huge explosion in a house in the Taliban stronghold of Mamozai, a sub-district of Orakzai tribal region. 
    ",24/01/2013
Mass murder suspect killed in shootout,"RAWALPINDI, Jan 23: A man allegedly involved in the murder of six people, including four brothers, in the city about five months back was gunned down during an exchange of fire with the police here early 
    ",24/01/2013
Body recovered,"NOWSHERA, Feb 3: Police recovered body of a young woman when three unidentified men were trying to bury it in Usmanabad locality here on Sunday. 
    ",04/02/2013
Husband held for killing wife,"ATTOCK, Feb 2: Police on Saturday arrested a man on charges of murdering his wife over a domestic dispute. 
    ",04/02/2013
Blast damages seven shops in Nowshera,"NOWSHERA/GHALANAI, Feb 2: Unidentified militants blew up seven shops in Nowshera district in the small hours of Saturday, officials said. 
    ",04/02/2013
Retired armyman shot dead,"ATTOCK, Feb 9: Two persons were killed and five others seriously injured in two separate incidents in the district. 
    ",09/02/2013
Two ‘target killers’ shot dead,"QUETTA, Feb 18: Two suspected target killers died and another was injured during a gunbattle with police near Hub town on Monday, police said. 
    ",18/02/2013
"Five die as truck, van collide","KOHAT, Feb 17: Five persons among them a woman were killed and 13 others injured in a road accident on Indus Highway here on Sunday. 
    ",18/02/2013
"Former peace volunteer, vendor killed in Tank","TANK, Feb 20: Unidentified motorcyclists shot dead two persons, including a former member of a peace committee, and injured another here on Wednesday. 
    ",20/02/2013
Six tribesmen injured in clash,"GHALANAI, Feb 20: Six people were injured when rival tribes clashed over a land dispute in Haleemzai tehsil of Mohmand Agency on Wednesday. 
    ",20/02/2013
"Rapist-killer, girlfriend unmask each other","ISLAMABAD, Feb 26: The man who last week confessed to murdering an 11-year-old girl, after raping her, has confessed to murdering the daughter of a senior police officer the same way in November that the family did not report to police 
    ",26/02/2013
